confirmed,deaths,timestamp,province_state,long,country_region,timestamp.date,lat,recovered
937,1,1587556800,Jiangxi,115.7221,China,2020-04-22,27.614,936
991,6,1587556800,Anhui,117.2264,China,2020-04-22,31.8257,984
11,0,1587556800,Greenland,-42.6043,Denmark,2020-04-22,71.7069,11
4,0,1587556800,null,6.613081,Sao Tome and Principe,2020-04-22,0.18636000000000003,0
5,0,1587556800,Northwest Territories,-124.8457,Canada,2020-04-22,64.8255,null
1,0,1587556800,Saint Pierre and Miquelon,-56.3159,France,2020-04-22,46.8852,0
168,6,1587556800,Hainan,109.7453,China,2020-04-22,19.1959,162
254,2,1587556800,Guangxi,108.7881,China,2020-04-22,23.8298,252
9,2,1587556800,null,0.0,MS Zaandam,2020-04-22,0.0,0
579,6,1587556800,Chongqing,107.874,China,2020-04-22,30572.0,570
1,0,1587556800,Tibet,88924.0,China,2020-04-22,31.6927,1
76,3,1587556800,Xinjiang,85.2401,China,2020-04-22,41.1129,73
18,0,1587556800,Qinghai,95.9956,China,2020-04-22,35.7452,18
75,0,1587556800,Ningxia,106.1655,China,2020-04-22,37.2692,75
74,3,1587556800,null,28.2833,Zambia,2020-04-22,-15.4167,35
1276,22,1587556800,Henan,113.614,China,2020-04-22,33.882,1254
11,0,1587556800,null,55.492,Seychelles,2020-04-22,-4.6796,5
122,0,1587556800,null,104.9167,Cambodia,2020-04-22,11.55,110
103,3,1587556800,Australian Capital Territory,149124.0,Australia,2020-04-22,-35.4735,88
6,0,1587556800,null,90.4336,Bhutan,2020-04-22,27.5142,2
75,5,1587556800,null,-59.5432,Barbados,2020-04-22,13.1939,25
65,9,1587556800,null,-77.3963,Bahamas,2020-04-22,25343.0,12
66,1,1587556800,Cayman Islands,-81.2546,United Kingdom,2020-04-22,19.3133,7
5,1,1587556800,British Virgin Islands,-64.64,United Kingdom,2020-04-22,18.4207,3
6630,125,1587556800,null,21059.0,Serbia,2020-04-22,44165.0,870
9,0,1587556800,null,12.4534,Holy See,2020-04-22,41.9029,2
146,2,1587556800,Liaoning,122.6085,China,2020-04-22,41.2956,143
328,6,1587556800,Hebei,116.1306,China,2020-04-22,39.549,317
11,0,1587556800,Yukon,-135.0,Canada,2020-04-22,64.2823,null
54,1,1587556800,null,2.3158,Benin,2020-04-22,9.3077,27
5,0,1587556800,"Bonaire, Sint Eustatius and Saba",-68.2385,Netherlands,2020-04-22,12.1784,0
7,1,1587556800,null,10.9408,Mauritania,2020-04-22,21079.0,6
81,1,1587556800,null,9.55,Liechtenstein,2020-04-22,47.14,55
50,0,1587556800,null,-15.1804,Guinea-Bissau,2020-04-22,11.8037,3
10,1,1587556800,null,-15.3101,Gambia,2020-04-22,13.443200000000001,2
184,2,1587556800,Yunnan,101.487,China,2020-04-22,24.974,178
147,2,1587556800,Guizhou,106.8748,China,2020-04-22,26.8154,145
118,0,1587556800,New Brunswick,-66.4619,Canada,2020-04-22,46.5653,null
18,2,1587556800,null,-59.5432,Belize,2020-04-22,13.1939,2
11,0,1587556800,Montserrat,-62.1874,United Kingdom,2020-04-22,16.7425,2
11,0,1587556800,Falkland Islands (Malvinas),-59.5236,United Kingdom,2020-04-22,-51.7963,3
14,1,1587556800,Curacao,-68.99,Netherlands,2020-04-22,12.1696,11
16,0,1587556800,null,18.4904,Namibia,2020-04-22,-22.9576,6
510,12,1587556800,null,20.902977,Kosovo,2020-04-22,42.602636,93
1019,4,1587556800,Hunan,111.7088,China,2020-04-22,27.6104,1015
33,0,1587556800,null,18.7322,Chad,2020-04-22,15.4542,8
1319,14,1587556800,Victoria,144.9631,Australia,2020-04-22,-37.8136,1172
1015,6,1587556800,Queensland,153.4,Australia,2020-04-22,-28167.0,738
359,25,1587556800,null,21.7587,Congo (Kinshasa),2020-04-22,-4383.0,45
1473,24,1587556800,null,45382.0,Armenia,2020-04-22,40691.0,633
952,14,1587556800,null,-5.5471,Cote d'Ivoire,2020-04-22,7.54,310
8,0,1587556800,null,143.9555,Papua New Guinea,2020-04-22,-6.315,0
12772,114,1587556800,null,45.0,Saudi Arabia,2020-04-22,24.0,1812
488,40,1587556800,null,12.4578,San Marino,2020-04-22,43.9424,62
13,0,1587556800,null,-61.2872,Saint Vincent and the Grenadines,2020-04-22,12.9843,3
15,0,1587556800,null,-60.9789,Saint Lucia,2020-04-22,13.9094,15
15,0,1587556800,null,-62.782998,Saint Kitts and Nevis,2020-04-22,17.357822,1
153,0,1587556800,null,29.8739,Rwanda,2020-04-22,-1.9403000000000001,84
57999,513,1587556800,null,90.0,Russia,2020-04-22,60.0,4420
9710,524,1587556800,null,24.9668,Romania,2020-04-22,45.9432,2406
7141,10,1587556800,null,51.1839,Qatar,2020-04-22,25.3548,689
21982,785,1587556800,null,-8.2245,Portugal,2020-04-22,39.3999,1143
10169,426,1587556800,null,19.1451,Poland,2020-04-22,51.9194,1513
6710,446,1587556800,null,122.0,Philippines,2020-04-22,13.0,693
19250,530,1587556800,null,-75152.0,Peru,2020-04-22,-9.19,7027
213,9,1587556800,null,-58.4438,Paraguay,2020-04-22,-23.4425,62
4821,141,1587556800,null,-80.7821,Panama,2020-04-22,8.538,231
2778,75,1587556800,null,28.3699,Moldova,2020-04-22,47.4116,560
10076,212,1587556800,null,69.3451,Pakistan,2020-04-22,30.3753,2156
1614,8,1587556800,null,57.0,Oman,2020-04-22,21.0,238
