,confirmed,country_region,deaths,lat,long,province_state,recovered,timestamp,timestamp.date
59,84627,Mexico,9415,23.6345,-102.5528,null,59003,1590753600.0,2020-05-29
60,335,Mauritius,10,-20.2,57.5,null,322,1590753600.0,2020-05-29
61,423,Mauritania,20,21079.0,10.9408,null,21,1590753600.0,2020-05-29
62,616,Malta,9,35.9375,14.3754,null,514,1590753600.0,2020-05-29
63,1226,Mali,73,17.570692,-3.996166,null,669,1590753600.0,2020-05-29
64,1591,Maldives,5,3.2028,73.2207,null,197,1590753600.0,2020-05-29
65,7732,Malaysia,115,2.5,112.5,null,6235,1590753600.0,2020-05-29
66,273,Malawi,4,-13.254308,34.301525,null,42,1590753600.0,2020-05-29
67,698,Madagascar,5,-18.7669,46.8691,null,164,1590753600.0,2020-05-29
68,4012,Luxembourg,110,49.8153,6.1296,null,3815,1590753600.0,2020-05-29
69,1662,Lithuania,68,55.1694,23.8813,null,1216,1590753600.0,2020-05-29
70,118,Libya,5,26.3351,17.228331,null,41,1590753600.0,2020-05-29
71,273,Liberia,27,6.4281,-9.4295,null,146,1590753600.0,2020-05-29
72,1172,Lebanon,26,33.8547,35.8623,null,705,1590753600.0,2020-05-29
73,1064,Latvia,24,56.8796,24.6032,null,745,1590753600.0,2020-05-29
74,19,Laos,0,19.85627,102.495496,null,16,1590753600.0,2020-05-29
75,1662,Kyrgyzstan,16,41.2044,74.7661,null,1088,1590753600.0,2020-05-29
76,25184,Kuwait,194,29.5,47.75,null,9273,1590753600.0,2020-05-29
77,11441,"Korea, South",269,36.0,128.0,null,10398,1590753600.0,2020-05-29
78,1745,Kenya,62,-236.0,37.9062,null,438,1590753600.0,2020-05-29
79,9932,Kazakhstan,37,48196.0,66.9237,null,5057,1590753600.0,2020-05-29
80,730,Jordan,9,31.24,36.51,null,507,1590753600.0,2020-05-29
81,16673,Japan,887,36.0,138.0,null,14213,1590753600.0,2020-05-29
82,575,Jamaica,9,18.1096,-77.2975,null,289,1590753600.0,2020-05-29
83,232248,Italy,33229,43.0,12.0,null,152844,1590753600.0,2020-05-29
84,16987,Israel,284,31.0,35.0,null,14776,1590753600.0,2020-05-29
85,24876,Ireland,1645,53.1424,-7.6921,null,22089,1590753600.0,2020-05-29
86,5873,Iraq,185,33.0,44.0,null,3044,1590753600.0,2020-05-29
87,146668,Iran,7677,32.0,53.0,null,114931,1590753600.0,2020-05-29
88,25216,Indonesia,1520,-0.7893,113.9213,null,6492,1590753600.0,2020-05-29
89,173491,India,4980,21.0,78.0,null,82627,1590753600.0,2020-05-29
90,1805,Iceland,10,64.9631,-19208.0,null,1794,1590753600.0,2020-05-29
91,3841,Hungary,517,47.1625,19.5033,null,2024,1590753600.0,2020-05-29
92,1584,Haiti,35,18.9712,-72.2852,null,22,1590753600.0,2020-05-29
93,3656,Guinea,22,9.9456,-9.6966,null,2000,1590753600.0,2020-05-29
94,1256,Guinea-Bissau,8,11.8037,-15.1804,null,42,1590753600.0,2020-05-29
95,4607,Guatemala,90,15.7835,-90.2308,null,648,1590753600.0,2020-05-29
96,23,Grenada,0,12.1165,-61.679,null,18,1590753600.0,2020-05-29
97,2909,Greece,175,39742.0,21.8243,null,1374,1590753600.0,2020-05-29
98,7616,Ghana,34,7.9465,-1232.0,null,2421,1590753600.0,2020-05-29
99,182922,Germany,8504,51.0,9.0,null,164245,1590753600.0,2020-05-29
100,746,Georgia,12,42.3154,43.3569,null,576,1590753600.0,2020-05-29
101,25,Gambia,1,13.4432,-15.3101,null,20,1590753600.0,2020-05-29
102,2613,Gabon,15,-0.8037,11.6094,null,709,1590753600.0,2020-05-29
103,470,France,1,-21.1351,55.2471,Reunion,411,1590753600.0,2020-05-29
104,1699,France,21,-12.8275,45.1662,Mayotte,1385,1590753600.0,2020-05-29
105,200,France,14,14.6415,-61242.0,Martinique,98,1590753600.0,2020-05-29
106,162,France,14,16.25,-61.5833,Guadeloupe,138,1590753600.0,2020-05-29
107,450,France,1,3.9339,-53.1258,French Guiana,172,1590753600.0,2020-05-29
108,183816,France,28663,46.2276,2.2137,null,65599,1590753600.0,2020-05-29
109,6776,Finland,314,64.0,26.0,null,5500,1590753600.0,2020-05-29
110,968,Ethiopia,8,9.145,40.4897,null,197,1590753600.0,2020-05-29
111,1859,Estonia,67,58.5953,25136.0,null,1610,1590753600.0,2020-05-29
112,1306,Equatorial Guinea,12,1.5,10.0,null,200,1590753600.0,2020-05-29
113,2278,El Salvador,42,13.7942,-88.8965,null,1015,1590753600.0,2020-05-29
114,22082,Egypt,879,26.0,30.0,null,5511,1590753600.0,2020-05-29
115,38571,Ecuador,3334,-1.8312,-78.1834,null,19190,1590753600.0,2020-05-29
116,16531,Dominican Republic,488,18.7357,-70.1627,null,9266,1590753600.0,2020-05-29
117,11593,Denmark,568,56.2639,9.5018,null,10240,1590753600.0,2020-05-29
118,9196,Czechia,319,49.8175,15.473,null,6500,1590753600.0,2020-05-29
119,942,Cyprus,17,35.1264,33.4299,null,784,1590753600.0,2020-05-29
120,2005,Cuba,82,22.0,-80.0,null,1760,1590753600.0,2020-05-29
121,2245,Croatia,103,45.1,15.2,null,2059,1590753600.0,2020-05-29
122,2750,Cote d'Ivoire,32,7.54,-5.5471,null,1370,1590753600.0,2020-05-29
123,1022,Costa Rica,10,9.7489,-83.7534,null,653,1590753600.0,2020-05-29
124,2833,Congo (Kinshasa),69,-4383.0,21.7587,null,400,1590753600.0,2020-05-29
125,25406,Colombia,855,4.5709,-74.2973,null,6687,1590753600.0,2020-05-29
126,672,China,7,31.202,121.4491,Shanghai,657,1590753600.0,2020-05-29
127,790,China,7,36.3427,118.1498,Shandong,780,1590753600.0,2020-05-29
128,155,China,2,43.6661,126.1923,Jilin,142,1590753600.0,2020-05-29
129,68135,China,4512,30.9756,112.2707,Hubei,63619,1590753600.0,2020-05-29
130,1079,China,4,22.3,114.2,Hong Kong,1035,1590753600.0,2020-05-29
131,169,China,6,19.1959,109.7453,Hainan,163,1590753600.0,2020-05-29
132,1593,China,8,23.3417,113.4244,Guangdong,1583,1590753600.0,2020-05-29
133,90638,Chile,944,-35.6751,-71.543,null,38598,1590753600.0,2020-05-29
134,759,Chad,65,15.4542,18.7322,null,444,1590753600.0,2020-05-29
135,874,Central African Republic,1,6.6111,20.9394,null,23,1590753600.0,2020-05-29
136,641,Canada,10,52.9399,-106.4509,Saskatchewan,null,1590753600.0,2020-05-29
137,null,Canada,null,56.1304,-106.3468,Recovery aggregated,47905,1590753600.0,2020-05-29
138,50232,Canada,4363,52.9399,-73.5491,Quebec,null,1590753600.0,2020-05-29
139,28700,Canada,2313,51.2538,-85.3232,Ontario,null,1590753600.0,2020-05-29
140,1055,Canada,59,44.682,-63.7443,Nova Scotia,null,1590753600.0,2020-05-29
141,128,Canada,0,46.5653,-66.4619,New Brunswick,null,1590753600.0,2020-05-29
142,2562,Canada,164,49.2827,-123.1207,British Columbia,null,1590753600.0,2020-05-29
143,6979,Canada,143,53.9333,-116.5765,Alberta,null,1590753600.0,2020-05-29
144,5436,Cameroon,177,3.848,11.5021,null,3326,1590753600.0,2020-05-29
145,405,Cabo Verde,4,16.5388,-23418.0,null,155,1590753600.0,2020-05-29
146,207,Burma,6,21.9162,95.956,null,130,1590753600.0,2020-05-29
147,847,Burkina Faso,53,12.2383,-1.5616,null,720,1590753600.0,2020-05-29
148,2485,Bulgaria,136,42.7339,25.4858,null,1016,1590753600.0,2020-05-29
149,465166,Brazil,27878,-14.235,-51.9253,null,189476,1590753600.0,2020-05-29
150,2485,Bosnia and Herzegovina,153,43.9159,17.6791,null,1803,1590753600.0,2020-05-29
151,8731,Bolivia,300,-16.2902,-63.5887,null,749,1590753600.0,2020-05-29
152,224,Benin,3,9.3077,2.3158,null,136,1590753600.0,2020-05-29
153,58061,Belgium,9430,50.8333,4.0,null,15682,1590753600.0,2020-05-29
154,40764,Belarus,224,53.7098,27.9534,null,17390,1590753600.0,2020-05-29
155,42844,Bangladesh,582,23.685,90.3563,null,9015,1590753600.0,2020-05-29
156,10449,Bahrain,15,26275.0,50.55,null,5700,1590753600.0,2020-05-29
157,102,Bahamas,11,25343.0,-77.3963,null,48,1590753600.0,2020-05-29
158,4989,Azerbaijan,58,40.1431,47.5769,null,3125,1590753600.0,2020-05-29
159,16655,Austria,668,47.5162,14.5501,null,15347,1590753600.0,2020-05-29
160,585,Australia,9,-31.9505,115.8605,Western Australia,551,1590753600.0,2020-05-29
161,1645,Australia,19,-37.8136,144.9631,Victoria,1553,1590753600.0,2020-05-29
162,228,Australia,13,-41.4545,145.9707,Tasmania,205,1590753600.0,2020-05-29
163,3092,Australia,48,-33.8688,151.2093,New South Wales,2683,1590753600.0,2020-05-29
164,8676,Armenia,120,40691.0,45382.0,null,3297,1590753600.0,2020-05-29
165,15419,Argentina,520,-38.4161,-63.6167,null,4788,1590753600.0,2020-05-29
166,81,Angola,4,-11.2027,17.8739,null,18,1590753600.0,2020-05-29
167,764,Andorra,51,42.5063,1.5218,null,684,1590753600.0,2020-05-29
168,9134,Algeria,638,28339.0,1.6596,null,5422,1590753600.0,2020-05-29
169,1099,Albania,33,41.1533,20.1683,null,851,1590753600.0,2020-05-29
170,13659,Afghanistan,246,33.0,65.0,null,1259,1590753600.0,2020-05-29
171,149,Zimbabwe,4,-20.0,30.0,null,28,1590753600.0,2020-05-29
172,1057,Zambia,7,-15.4167,28.2833,null,779,1590753600.0,2020-05-29
173,446,West Bank and Gaza,3,31.9522,35.2332,null,368,1590753600.0,2020-05-29
174,560,United Kingdom,45,49.3723,-2.3644,Channel Islands,512,1590753600.0,2020-05-29
175,8,United Kingdom,1,18.4207,-64.64,British Virgin Islands,7,1590753600.0,2020-05-29
176,140,United Kingdom,9,32.3078,-64.7505,Bermuda,92,1590753600.0,2020-05-29
177,122,Syria,4,34.802075,38.996815,null,43,1590753600.0,2020-05-29
178,12,Suriname,1,3.9193,-56278.0,null,9,1590753600.0,2020-05-29
179,1828,Somalia,72,5.1521,46.1996,null,310,1590753600.0,2020-05-29
180,1504,New Zealand,22,-40.9006,174.886,null,1481,1590753600.0,2020-05-29
181,77,Netherlands,15,18425.0,-63548.0,Sint Maarten,60,1590753600.0,2020-05-29
182,101,Netherlands,3,12.5186,-70358.0,Aruba,98,1590753600.0,2020-05-29
183,2,Lesotho,0,-29.609988,28.233608,null,1,1590753600.0,2020-05-29
184,1048,Kosovo,30,42.602636,20.902977,null,801,1590753600.0,2020-05-29
185,4752,Honduras,196,15.2,-86.2419,null,519,1590753600.0,2020-05-29
186,150,Guyana,11,5.0,-58.75,null,67,1590753600.0,2020-05-29
187,19,France,0,-20.9043,165.618,New Caledonia,18,1590753600.0,2020-05-29
188,279,Eswatini,2,-26.5225,31.4659,null,168,1590753600.0,2020-05-29
189,2914,Djibouti,20,11.8251,42.5903,null,1241,1590753600.0,2020-05-29
190,13,Denmark,0,71.7069,-42.6043,Greenland,11,1590753600.0,2020-05-29
191,571,Congo (Brazzaville),19,-4383.0,21.7587,null,161,1590753600.0,2020-05-29
192,87,Comoros,2,-11.6455,43.3333,null,24,1590753600.0,2020-05-29
193,358,China,1,26789.0,117.9874,Fujian,355,1590753600.0,2020-05-29
194,294,Canada,7,53.7609,-98.8139,Manitoba,null,1590753600.0,2020-05-29
195,141,Brunei,2,4.5353,114.7277,null,138,1590753600.0,2020-05-29
196,31,Bhutan,0,27.5142,90.4336,null,6,1590753600.0,2020-05-29
197,92,Barbados,7,13.1939,-59.5432,null,76,1590753600.0,2020-05-29
198,1058,Australia,7,-28167.0,153.4,Queensland,1045,1590753600.0,2020-05-29
199,9,Western Sahara,1,24.2155,-12.8858,null,6,1590753600.0,2020-05-29
200,759,Nicaragua,35,12.8654,-85.2072,null,370,1590753600.0,2020-05-29
201,18,Netherlands,1,12.1696,-68.99,Curacao,14,1590753600.0,2020-05-29
202,149,China,2,41.2956,122.6085,Liaoning,147,1590753600.0,2020-05-29
203,232,China,1,44935.0,113.9448,Inner Mongolia,205,1590753600.0,2020-05-29
204,35,Botswana,1,-22.3285,24.6849,null,20,1590753600.0,2020-05-29
205,440,Australia,4,-34.9285,138.6007,South Australia,435,1590753600.0,2020-05-29
206,324,Montenegro,9,42.5,19.3,null,315,1590753600.0,2020-05-29
207,192,China,3,39.3054,117.323,Tianjin,188,1590753600.0,2020-05-29
208,564,China,3,30.6171,102.7103,Sichuan,558,1590753600.0,2020-05-29
209,98,Monaco,4,43.7333,7.4167,null,90,1590753600.0,2020-05-29
210,308,China,3,35.1917,108.8701,Shaanxi,305,1590753600.0,2020-05-29
211,45,China,0,22.1667,113.55,Macau,45,1590753600.0,2020-05-29
212,593,China,9,40.1824,116.4142,Beijing,581,1590753600.0,2020-05-29
213,124,Cambodia,0,11.55,104.9167,null,122,1590753600.0,2020-05-29
214,116,Trinidad and Tobago,8,10.6918,-61.2225,null,108,1590753600.0,2020-05-29
215,40,France,3,18708.0,-63501.0,St Martin,33,1590753600.0,2020-05-29
216,945,China,13,47.862,127.7615,Heilongjiang,932,1590753600.0,2020-05-29
217,29,Australia,0,-12.4634,130.8456,Northern Territory,29,1590753600.0,2020-05-29
218,11,Seychelles,0,-4.6796,55.492,null,11,1590753600.0,2020-05-29
219,15,Saint Kitts and Nevis,0,17.357822,-62.782998,null,15,1590753600.0,2020-05-29
220,60,France,0,-17.6797,149.4068,French Polynesia,60,1590753600.0,2020-05-29
221,42,Burundi,1,-3.3731,29.9189,null,20,1590753600.0,2020-05-29
222,11,United Kingdom,1,16.7425,-62.1874,Montserrat,10,1590753600.0,2020-05-29
223,16,Dominica,0,15.415,-61.371,null,16,1590753600.0,2020-05-29
224,328,China,6,39.549,116.1306,Hebei,322,1590753600.0,2020-05-29
225,24,Timor-Leste,0,-8.874217,125.727539,null,24,1590753600.0,2020-05-29
226,18,Fiji,0,-17.7134,17865.0,null,15,1590753600.0,2020-05-29
227,39,Eritrea,0,15.1794,39.7823,null,39,1590753600.0,2020-05-29
228,12,United Kingdom,1,21.694,-71.7979,Turks and Caicos Islands,10,1590753600.0,2020-05-29
229,18,Saint Lucia,0,13.9094,-60.9789,null,18,1590753600.0,2020-05-29
230,6,Netherlands,0,12.1784,-68.2385,"Bonaire, Sint Eustatius and Saba",6,1590753600.0,2020-05-29
231,1,France,0,46.8852,-56.3159,Saint Pierre and Miquelon,1,1590753600.0,2020-05-29
232,712,Diamond Princess,13,0.0,0.0,null,651,1590753600.0,2020-05-29
233,185,China,2,24.974,101.487,Yunnan,183,1590753600.0,2020-05-29
234,198,China,0,37.5777,112.2922,Shanxi,198,1590753600.0,2020-05-29
235,653,China,0,32.9711,119.455,Jiangsu,653,1590753600.0,2020-05-29
236,107,Australia,3,-35.4735,149124.0,Australian Capital Territory,104,1590753600.0,2020-05-29
237,25,Antigua and Barbuda,3,17608.0,-61.7964,null,19,1590753600.0,2020-05-29
238,509,Tanzania,21,-6.369,34.8888,null,183,1590753600.0,2020-05-29
239,187,Denmark,0,61.8926,-6.9118,Faroe Islands,187,1590753600.0,2020-05-29
240,261,Canada,3,53.1355,-57.6604,Newfoundland and Labrador,null,1590753600.0,2020-05-29
241,12,Holy See,0,41.9029,12.4534,null,2,1590753600.0,2020-05-29
242,18,Belize,2,13.1939,-59.5432,null,16,1590753600.0,2020-05-29
243,8,Papua New Guinea,0,-6.315,143.9555,null,8,1590753600.0,2020-05-29
244,1268,China,1,29.1832,120934.0,Zhejiang,1267,1590753600.0,2020-05-29
245,13,United Kingdom,0,-51.7963,-59.5236,Falkland Islands (Malvinas),13,1590753600.0,2020-05-29
246,1,Canada,1,0.0,0.0,Diamond Princess,null,1590753600.0,2020-05-29
247,27,Canada,0,46.5107,-63.4168,Prince Edward Island,null,1590753600.0,2020-05-29
248,3,United Kingdom,0,18.2206,-63686.0,Anguilla,3,1590753600.0,2020-05-29
249,82,Liechtenstein,1,47.14,9.55,null,55,1590753600.0,2020-05-29
250,579,China,6,30572.0,107.874,Chongqing,573,1590753600.0,2020-05-29
251,991,China,6,31.8257,117.2264,Anhui,985,1590753600.0,2020-05-29
252,6,France,0,17.9,-62.8333,Saint Barthelemy,6,1590753600.0,2020-05-29
253,11,Canada,0,64.2823,-135.0,Yukon,null,1590753600.0,2020-05-29
254,147,China,2,26.8154,106.8748,Guizhou,145,1590753600.0,2020-05-29
255,1019,China,4,27.6104,111.7088,Hunan,1015,1590753600.0,2020-05-29
256,139,China,2,37.8099,101583.0,Gansu,137,1590753600.0,2020-05-29
257,1276,China,22,33.882,113.614,Henan,1254,1590753600.0,2020-05-29
258,937,China,1,27.614,115.7221,Jiangxi,936,1590753600.0,2020-05-29
259,5,Canada,0,64.8255,-124.8457,Northwest Territories,null,1590753600.0,2020-05-29
260,254,China,2,23.8298,108.7881,Guangxi,252,1590753600.0,2020-05-29
261,9,MS Zaandam,2,0.0,0.0,null,0,1590753600.0,2020-05-29
262,1,China,0,31.6927,88924.0,Tibet,1,1590753600.0,2020-05-29
263,13,Canada,0,37.6489,-122.6655,Grand Princess,null,1590753600.0,2020-05-29
264,76,China,3,41.1129,85.2401,Xinjiang,73,1590753600.0,2020-05-29
265,18,China,0,35.7452,95.9956,Qinghai,18,1590753600.0,2020-05-29
266,75,China,0,37.2692,106.1655,Ningxia,75,1590753600.0,2020-05-29
267,278,Yemen,57,15.552727,48.516388,null,11,1590667200.0,2020-05-28
268,327,Vietnam,0,16.0,108.0,null,278,1590667200.0,2020-05-28
269,1325,Venezuela,11,6.4238,-66.5897,null,302,1590667200.0,2020-05-28
270,3444,Uzbekistan,14,41.3775,64.5853,null,2694,1590667200.0,2020-05-28
271,811,Uruguay,22,-32.5228,-55.7658,null,654,1590667200.0,2020-05-28
272,12,United Kingdom,1,21.694,-71.7979,Turks and Caicos Islands,10,1590667200.0,2020-05-28
273,158,United Kingdom,0,36.1408,-5.3536,Gibraltar,147,1590667200.0,2020-05-28
274,140,United Kingdom,1,19.3133,-81.2546,Cayman Islands,67,1590667200.0,2020-05-28
275,269127,United Kingdom,37837,55.3781,-3.436,null,0,1590667200.0,2020-05-28
276,32532,United Arab Emirates,258,24.0,54.0,null,16685,1590667200.0,2020-05-28
277,22382,Ukraine,669,48.3794,31.1656,null,8439,1590667200.0,2020-05-28
278,317,Uganda,0,1.0,32.0,null,69,1590667200.0,2020-05-28
279,1721753,US,101616,37902.0,-95.7129,null,399991,1590667200.0,2020-05-28
280,160979,Turkey,4461,38.9637,35.2433,null,124369,1590667200.0,2020-05-28
281,1068,Tunisia,48,34.0,9.0,null,938,1590667200.0,2020-05-28
282,422,Togo,13,8.6195,0.8248,null,197,1590667200.0,2020-05-28
283,3065,Thailand,57,15.0,101.0,null,2945,1590667200.0,2020-05-28
284,3563,Tajikistan,47,38.861034,71.276093,null,1674,1590667200.0,2020-05-28
285,441,Taiwan*,7,23.7,121.0,null,420,1590667200.0,2020-05-28
286,30796,Switzerland,1919,46.8182,8.2275,null,28300,1590667200.0,2020-05-28
287,35727,Sweden,4266,63.0,16.0,null,4971,1590667200.0,2020-05-28
288,4346,Sudan,195,12.8628,30.2176,null,749,1590667200.0,2020-05-28
289,1530,Sri Lanka,10,7.0,81.0,null,745,1590667200.0,2020-05-28
290,237906,Spain,27119,40.0,-4.0,null,150376,1590667200.0,2020-05-28
291,994,South Sudan,10,6.877,31.307,null,6,1590667200.0,2020-05-28
292,27403,South Africa,577,-30.5595,22.9375,null,14370,1590667200.0,2020-05-28
293,1473,Slovenia,108,46.1512,14.9955,null,1356,1590667200.0,2020-05-28
294,1520,Slovakia,28,48.669,19.699,null,1332,1590667200.0,2020-05-28
295,33249,Singapore,23,1.2833,103.8333,null,18294,1590667200.0,2020-05-28
296,812,Sierra Leone,45,8.460555,-11.779889,null,361,1590667200.0,2020-05-28
297,11300,Serbia,241,44165.0,21059.0,null,6438,1590667200.0,2020-05-28
298,3348,Senegal,39,14.4974,-14.4524,null,1686,1590667200.0,2020-05-28
299,80185,Saudi Arabia,441,24.0,45.0,null,54553,1590667200.0,2020-05-28
300,458,Sao Tome and Principe,12,0.18636,6.613081,null,68,1590667200.0,2020-05-28
301,670,San Marino,42,43.9424,12.4578,null,322,1590667200.0,2020-05-28
302,25,Saint Vincent and the Grenadines,0,12.9843,-61.2872,null,14,1590667200.0,2020-05-28
303,349,Rwanda,0,-1.9403,29.8739,null,245,1590667200.0,2020-05-28
304,379051,Russia,4142,60.0,90.0,null,150993,1590667200.0,2020-05-28
305,18791,Romania,1235,45.9432,24.9668,null,12629,1590667200.0,2020-05-28
306,50914,Qatar,33,25.3548,51.1839,null,15399,1590667200.0,2020-05-28
307,31596,Portugal,1369,39.3999,-8.2245,null,18637,1590667200.0,2020-05-28
308,22825,Poland,1038,51.9194,19.1451,null,10560,1590667200.0,2020-05-28
309,15588,Philippines,921,13.0,122.0,null,3598,1590667200.0,2020-05-28
310,141779,Peru,4099,-9.19,-75152.0,null,59442,1590667200.0,2020-05-28
311,900,Paraguay,11,-23.4425,-58.4438,null,402,1590667200.0,2020-05-28
312,12131,Panama,320,8.538,-80.7821,null,7379,1590667200.0,2020-05-28
313,61227,Pakistan,1260,30.3753,69.3451,null,20231,1590667200.0,2020-05-28
314,9009,Oman,40,21.0,57.0,null,2177,1590667200.0,2020-05-28
315,8411,Norway,236,60.472,8.4689,null,7727,1590667200.0,2020-05-28
316,2077,North Macedonia,121,41.6086,21.7453,null,1486,1590667200.0,2020-05-28
317,8915,Nigeria,259,982.0,8.6753,null,2592,1590667200.0,2020-05-28
318,955,Niger,64,17.6078,8817.0,null,803,1590667200.0,2020-05-28
319,45950,Netherlands,5903,52.1326,5.2913,null,0,1590667200.0,2020-05-28
320,1042,Nepal,5,28.1667,84.25,null,187,1590667200.0,2020-05-28
321,22,Namibia,0,-22.9576,18.4904,null,14,1590667200.0,2020-05-28
322,233,Mozambique,2,-18.665695,35.529562,null,82,1590667200.0,2020-05-28
323,7643,Morocco,202,31.7917,-7926.0,null,5195,1590667200.0,2020-05-28
324,161,Mongolia,0,46.8625,103.8467,null,43,1590667200.0,2020-05-28
325,7725,Moldova,282,47.4116,28.3699,null,4123,1590667200.0,2020-05-28
326,81400,Mexico,9044,23.6345,-102.5528,null,56041,1590667200.0,2020-05-28
327,346,Mauritania,19,21079.0,10.9408,null,15,1590667200.0,2020-05-28
328,616,Malta,7,35.9375,14.3754,null,501,1590667200.0,2020-05-28
329,1194,Mali,72,17.570692,-3.996166,null,652,1590667200.0,2020-05-28
330,1513,Maldives,5,3.2028,73.2207,null,197,1590667200.0,2020-05-28
331,7629,Malaysia,115,2.5,112.5,null,6169,1590667200.0,2020-05-28
332,203,Malawi,4,-13.254308,34.301525,null,37,1590667200.0,2020-05-28
333,656,Madagascar,2,-18.7669,46.8691,null,154,1590667200.0,2020-05-28
334,4008,Luxembourg,110,49.8153,6.1296,null,3803,1590667200.0,2020-05-28
